Player,Match,first_serve_pctg,second_serve_pctg,double_faults,win
Alex De Minaur,20200103-M-ATP_Cup-RR-Alex_De_Minaur-Alexander_Zverev,76.2,100.0,0,True
Alexander Zverev,20200103-M-ATP_Cup-RR-Alex_De_Minaur-Alexander_Zverev,65.1,62.2,14,False
Stefanos Tsitsipas,20200103-M-ATP_Cup-RR-Stefanos_Tsitsipas-Denis_Shapovalov,62.7,89.3,3,False
Denis Shapovalov,20200103-M-ATP_Cup-RR-Stefanos_Tsitsipas-Denis_Shapovalov,65.2,87.5,4,True
Steve Darcis,20200103-M-ATP_Cup-RR-Steve_Darcis-Alexander_Cozbinov,58.4,95.7,2,True
Alexander Cozbinov,20200103-M-ATP_Cup-RR-Steve_Darcis-Alexander_Cozbinov,62.7,95.5,2,False
Hubert Hurkacz,20200104-M-ATP_Cup-RR-Hubert_Hurkacz-Diego_Schwartzman,69.5,89.7,3,True
Diego Schwartzman,20200104-M-ATP_Cup-RR-Hubert_Hurkacz-Diego_Schwartzman,54.4,92.7,3,False
Nicolas Jarry,20200104-M-ATP_Cup-RR-Nicolas_Jarry-Benoit_Paire,66.7,93.8,2,False
Benoit Paire,20200104-M-ATP_Cup-RR-Nicolas_Jarry-Benoit_Paire,47.6,83.6,9,True
Stefanos Tsitsipas,20200104-M-ATP_Cup-RR-Stefanos_Tsitsipas-Alexander_Zverev,64.4,93.8,1,True
Alexander Zverev,20200104-M-ATP_Cup-RR-Stefanos_Tsitsipas-Alexander_Zverev,45.5,66.7,10,False
Alex De Minaur,20200105-M-ATP_Cup-RR-Alex_De_Minaur-Denis_Shapovalov,64.4,95.2,2,True
Denis Shapovalov,20200105-M-ATP_Cup-RR-Alex_De_Minaur-Denis_Shapovalov,58.2,84.8,7,False
Casper Ruud,20200105-M-ATP_Cup-RR-Casper_Ruud-Fabio_Fognini,76.1,90.9,1,True
Fabio Fognini,20200105-M-ATP_Cup-RR-Casper_Ruud-Fabio_Fognini,46.8,88.0,3,False
Hubert Hurkacz,20200106-M-ATP_Cup-RR-Hubert_Hurkacz-Borna_Coric,62.5,100.0,0,True
Borna Coric,20200106-M-ATP_Cup-RR-Hubert_Hurkacz-Borna_Coric,69.1,88.2,2,False
Taylor Fritz,20200106-M-ATP_Cup-RR-Taylor_Fritz-Karen_Khachanov,60.7,82.9,6,False
Karen Khachanov,20200106-M-ATP_Cup-RR-Taylor_Fritz-Karen_Khachanov,72.0,95.2,1,True
Alexander Zverev,20200107-M-ATP_Cup-RR-Alexander_Zverev-Denis_Shapovalov,53.8,70.8,7,False
Denis Shapovalov,20200107-M-ATP_Cup-RR-Alexander_Zverev-Denis_Shapovalov,63.5,73.7,5,True
Jan Lennard Struff,20200107-M-ATP_Cup-RR-Jan_Lennard_Struff-Felix_Auger_Aliassime,52.1,91.3,2,True
Felix Auger Aliassime,20200107-M-ATP_Cup-RR-Jan_Lennard_Struff-Felix_Auger_Aliassime,66.0,88.9,2,False
Stefanos Tsitsipas,20200107-M-ATP_Cup-RR-Stefanos_Tsitsipas-Nick_Kyrgios,69.1,94.7,2,False
Nick Kyrgios,20200107-M-ATP_Cup-RR-Stefanos_Tsitsipas-Nick_Kyrgios,73.5,90.0,3,True
Mohamed Safwat,20200107-M-Noumea_CH-R32-Mohamed_Safwat-Ernests_Gulbis,58.7,88.5,3,False
Ernests Gulbis,20200107-M-Noumea_CH-R32-Mohamed_Safwat-Ernests_Gulbis,70.2,76.5,4,True
Hubert Hurkacz,20200108-M-ATP_Cup-RR-Hubert_Hurkacz-Dominic_Thiem,60.7,95.8,2,True
Dominic Thiem,20200108-M-ATP_Cup-RR-Hubert_Hurkacz-Dominic_Thiem,56.4,87.8,5,False
Alex De Minaur,20200109-M-ATP_Cup-QF-Alex_De_Minaur-Daniel_Evans,66.1,97.5,1,False
Daniel Evans,20200109-M-ATP_Cup-QF-Alex_De_Minaur-Daniel_Evans,66.2,97.8,1,True
Andrey Rublev,20200110-M-Doha-SF-Andrey_Rublev-Miomir_Kecmanovic,60.5,94.1,1,True
Miomir Kecmanovic,20200110-M-Doha-SF-Andrey_Rublev-Miomir_Kecmanovic,60.0,95.0,1,False
Stan Wawrinka,20200110-M-Doha-SF-Stan_Wawrinka-Corentin_Moutet,65.6,87.5,4,False
Corentin Moutet,20200110-M-Doha-SF-Stan_Wawrinka-Corentin_Moutet,75.7,100.0,0,True
Dusan Lajovic,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,71.6,94.7,1,True
Karen Khachanov,20200111-M-ATP_Cup-SF-Dusan_Lajovic-Karen_Khachanov,68.4,88.0,3,False
Novak Djokovic,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,67.6,86.1,5,True
Daniil Medvedev,20200111-M-ATP_Cup-SF-Novak_Djokovic-Daniil_Medvedev,52.8,90.2,5,False
Roberto Bautista Agut,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,74.6,93.3,1,True
Dusan Lajovic,20200112-M-ATP_Cup-F-Roberto_Bautista_Agut-Dusan_Lajovic,61.4,95.5,1,False
Hubert Hurkacz,20200113-M-Auckland-R32-Hubert_Hurkacz-Lorenzo_Sonego,63.5,88.9,3,True
Lorenzo Sonego,20200113-M-Auckland-R32-Hubert_Hurkacz-Lorenzo_Sonego,68.9,95.7,1,False
Elliot Benchetrit,20200115-M-Australian_Open-Q1-Elliot_Benchetrit-Steve_Darcis,63.6,100.0,0,True
Steve Darcis,20200115-M-Australian_Open-Q1-Elliot_Benchetrit-Steve_Darcis,60.3,96.6,1,False
Hubert Hurkacz,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,62.9,91.7,3,True
Feliciano Lopez,20200116-M-Auckland-QF-Hubert_Hurkacz-Feliciano_Lopez,57.7,81.8,8,False
Felix Auger Aliassime,20200117-M-Adelaide-SF-Felix_Auger_Aliassime-Andrey_Rublev,61.4,93.9,3,False
Andrey Rublev,20200117-M-Adelaide-SF-Felix_Auger_Aliassime-Andrey_Rublev,59.5,88.2,6,True
Tommy Paul,20200117-M-Adelaide-SF-Tommy_Paul-Lloyd_Harris,58.0,92.9,3,False
Lloyd Harris,20200117-M-Adelaide-SF-Tommy_Paul-Lloyd_Harris,60.7,91.4,3,True
Hubert Hurkacz,20200117-M-Auckland-SF-Hubert_Hurkacz-Benoit_Paire,60.7,78.8,7,False
Benoit Paire,20200117-M-Auckland-SF-Hubert_Hurkacz-Benoit_Paire,50.0,81.1,10,True
Lorenzo Musetti,20200118-M-Australian_Open-Q3-Lorenzo_Musetti-Tallon_Griekspoor,57.5,93.5,2,False
