% Break Points Saved,% Deciding Sets Won,% Tie Breaks Won,Player,Under Pressure Rating
54.8%,80.0%,100.0%,Valentin Vacherot,268.1
65.8%,78.9%,64.0%,Carlos Alcaraz,253.1
72.5%,50.0%,80.0%,Jannik Sinner,248.1
63.9%,72.7%,71.4%,Grigor Dimitrov,245.4
64.0%,68.8%,71.4%,Jack Draper,243.8
68.8%,75.0%,55.3%,Ben Shelton,241.4
59.6%,66.7%,65.5%,Flavio Cobolli,229.1
61.2%,58.3%,69.2%,Jenson Brooksby,228.8
66.0%,55.6%,70.0%,Hamad Medjedovic,228.0
72.5%,60.0%,64.3%,Reilly Opelka,227.6
63.5%,80.0%,40.9%,Novak Djokovic,226.8
65.8%,66.7%,52.2%,Taylor Fritz,226.1
59.4%,64.3%,65.2%,Luciano Darderi,225.9
67.7%,65.2%,58.8%,Felix Auger Aliassime,225.4
59.5%,73.7%,53.6%,Alexandre Muller,225.3
65.6%,61.9%,58.8%,Cameron Norrie,225.3
63.3%,64.7%,52.0%,Tommy Paul,224.3
54.6%,40.0%,85.7%,Sebastian Baez,223.6
62.3%,58.3%,69.2%,Jordan Thompson,221.8
63.0%,57.1%,60.0%,Learner Tien,221.6
62.7%,61.1%,55.6%,Holger Rune,221.5
62.2%,57.1%,60.9%,Arthur Fils,220.6
55.2%,54.5%,71.4%,Marton Fucsovics,220.3
64.7%,66.7%,54.2%,Stefanos Tsitsipas,220.2
69.2%,56.5%,59.5%,Tallon Griekspoor,219.9
62.6%,58.8%,58.3%,Gabriel Diallo,218.7
64.3%,50.0%,64.3%,Casper Ruud,218.2
62.1%,58.8%,58.3%,Gael Monfils,216.8
61.4%,52.6%,57.1%,Alex de Minaur,215.3
68.8%,46.7%,60.0%,Alexander Bublik,214.6
63.3%,45.0%,63.3%,Francisco Cerundolo,214.4
59.7%,50.0%,58.3%,Tomas Machac,213.5
60.0%,60.0%,53.6%,Zizou Bergs,211.7
59.6%,58.3%,50.0%,Hugo Gaston,211.7
64.8%,50.0%,51.5%,Alejandro Davidovich Fokina,210.3
61.6%,62.5%,50.0%,Nuno Borges,210.1
61.3%,51.7%,57.1%,Karen Khachanov,209.9
64.7%,42.9%,61.4%,Alexander Zverev,209.8
61.4%,63.6%,50.0%,Joao Fonseca,209.0
67.0%,52.9%,62.5%,Alexei Popyrin,208.9
68.4%,68.4%,36.8%,Arthur Rinderknech,208.8
55.9%,77.8%,38.9%,Alexander Shevchenko,208.4
64.8%,50.0%,55.6%,Benjamin Bonzi,208.3
60.9%,69.2%,38.1%,Roberto Bautista Agut,207.9
58.7%,60.0%,46.2%,Jacob Fearnley,207.7
61.4%,50.0%,54.2%,Jiri Lehecka,207.3
60.1%,55.6%,52.2%,Lorenzo Musetti,206.9
58.8%,75.0%,33.3%,Camilo Ugo Carabelli,206.5
64.2%,44.4%,63.2%,Matteo Arnaldi,206.1
58.6%,53.3%,50.0%,Damir Dzumhur,205.5
62.5%,50.0%,54.5%,Corentin Moutet,205.2
62.8%,54.5%,40.7%,Denis Shapovalov,205.0
59.4%,58.8%,51.4%,Alex Michelsen,204.8
61.4%,35.0%,69.6%,Marcos Giron,204.6
69.3%,40.0%,61.4%,Giovanni Mpetshi Perricard,204.3
65.7%,50.0%,46.7%,Sebastian Korda,203.9
60.9%,61.5%,40.9%,Daniel Altmaier,201.7
59.3%,66.7%,35.0%,Adam Walton,201.3
61.1%,36.8%,65.5%,Frances Tiafoe,200.6
62.1%,45.0%,55.6%,Andrey Rublev,198.2
66.5%,36.8%,54.5%,Jakub Mensik,195.3
71.3%,45.5%,40.9%,Matteo Berrettini,194.4
64.6%,60.0%,33.3%,Fabian Marozsan,194.0
63.2%,45.5%,47.4%,Brandon Nakashima,192.6
60.9%,54.5%,39.1%,Francisco Comesana,191.1
65.2%,45.5%,40.0%,Laslo Djere,190.2
58.8%,41.7%,50.0%,Pedro Martinez,189.0
58.8%,45.5%,48.0%,Daniil Medvedev,188.9
58.0%,45.5%,42.9%,Jaume Munar,187.4
67.3%,37.5%,41.9%,Lorenzo Sonego,186.3
67.2%,42.9%,39.1%,Tomas Martin Etcheverry,185.7
55.0%,53.8%,40.0%,David Goffin,183.9
63.3%,40.0%,45.8%,Quentin Halys,183.4
60.1%,35.7%,50.0%,Ugo Humbert,183.0
56.2%,53.8%,33.3%,Botic van de Zandschulp,181.8
63.8%,42.9%,33.3%,Adrian Mannarino,178.8
64.3%,40.0%,37.5%,Alejandro Tabilo,176.2
63.6%,31.6%,42.9%,Aleksandar Vukic,175.1
64.9%,44.4%,31.3%,Christopher O'Connell,174.7
60.2%,39.1%,37.0%,Miomir Kecmanovic,173.9
58.5%,23.5%,50.0%,Mariano Navone,172.9
58.9%,44.4%,37.5%,Jan Lennard Struff,171.9
59.6%,33.3%,36.4%,Roberto Carballes Baena,168.0
69.0%,28.6%,41.7%,Nicolas Jarry,167.2
62.1%,26.7%,41.7%,Aleksandar Kovacevic,163.0
64.0%,18.2%,30.8%,Yunchaokete Bu,145.4
