% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Break Points Converted,% Return Games Won,Player,Return Rating
33.4%,58.5%,45.6%,33.3%,Jannik Sinner,170.8
34.9%,53.9%,44.4%,31.7%,Carlos Alcaraz,164.9
31.5%,54.1%,44.2%,28.7%,Alex de Minaur,158.5
31.6%,53.8%,44.3%,27.9%,Tommy Paul,157.6
33.7%,50.6%,43.3%,28.5%,Sebastian Baez,156.1
31.2%,53.1%,44.0%,27.6%,Alejandro Davidovich Fokina,155.9
32.4%,52.3%,42.8%,27.1%,Francisco Cerundolo,154.6
31.7%,49.8%,47.0%,25.3%,Denis Shapovalov,153.8
31.4%,53.2%,42.4%,26.5%,Novak Djokovic,153.5
31.3%,54.1%,39.0%,26.9%,Lorenzo Musetti,151.3
32.9%,50.7%,40.9%,26.5%,Mariano Navone,151.0
33.1%,48.3%,43.6%,24.4%,Damir Dzumhur,149.4
31.5%,52.1%,39.6%,25.9%,Jack Draper,149.1
31.1%,51.4%,41.0%,25.5%,Jaume Munar,149.0
30.1%,54.8%,39.2%,24.4%,Marton Fucsovics,148.5
32.9%,52.0%,36.6%,25.8%,Daniil Medvedev,147.3
29.6%,50.9%,42.8%,23.8%,Jacob Fearnley,147.1
29.9%,52.3%,40.1%,24.7%,Jenson Brooksby,147.0
27.8%,54.2%,39.8%,23.5%,Karen Khachanov,145.3
27.4%,49.9%,45.5%,22.3%,Tomas Machac,145.1
30.3%,51.1%,40.8%,22.8%,Alexander Zverev,145.0
29.3%,52.6%,38.7%,23.6%,Roberto Carballes Baena,144.2
26.7%,53.4%,41.5%,21.9%,Learner Tien,143.5
32.3%,48.7%,38.2%,24.1%,Corentin Moutet,143.3
28.7%,52.3%,40.4%,21.7%,Arthur Fils,143.1
28.7%,47.9%,43.8%,22.2%,Hugo Gaston,142.6
28.6%,49.6%,42.1%,21.5%,Holger Rune,141.8
30.9%,49.8%,37.3%,23.6%,Flavio Cobolli,141.6
30.5%,52.7%,33.3%,23.6%,Valentin Vacherot,140.1
28.6%,50.4%,39.5%,21.4%,Laslo Djere,139.9
27.1%,52.8%,38.5%,21.1%,Pedro Martinez,139.5
30.1%,49.0%,39.4%,20.7%,Camilo Ugo Carabelli,139.2
28.8%,49.9%,39.6%,20.7%,Casper Ruud,139.0
27.4%,49.2%,41.7%,20.4%,Jiri Lehecka,138.7
29.1%,49.9%,38.1%,21.0%,Zizou Bergs,138.1
26.9%,51.5%,39.0%,20.7%,Cameron Norrie,138.1
26.6%,51.6%,39.7%,19.9%,Roberto Bautista Agut,137.8
29.6%,49.5%,38.5%,20.1%,Botic van de Zandschulp,137.7
29.3%,50.1%,37.4%,20.8%,Grigor Dimitrov,137.6
30.1%,49.3%,35.1%,22.7%,David Goffin,137.2
25.9%,51.1%,41.4%,18.6%,Taylor Fritz,137.0
27.3%,49.5%,38.8%,20.6%,Adrian Mannarino,136.2
27.1%,50.9%,37.2%,20.7%,Frances Tiafoe,135.9
27.3%,47.9%,41.5%,19.0%,Sebastian Korda,135.7
26.2%,51.7%,37.6%,19.6%,Miomir Kecmanovic,135.1
27.5%,49.8%,38.6%,18.9%,Marcos Giron,134.8
25.2%,49.8%,40.3%,18.9%,Adam Walton,134.2
29.2%,47.9%,37.6%,19.4%,Gael Monfils,134.1
28.7%,48.1%,37.0%,20.2%,Luciano Darderi,134.0
26.7%,49.7%,38.5%,18.6%,Alexandre Muller,133.5
28.5%,49.3%,36.0%,19.5%,Nuno Borges,133.3
29.0%,47.9%,37.5%,18.8%,Jakub Mensik,133.2
25.4%,51.2%,37.9%,18.3%,Benjamin Bonzi,132.8
27.3%,48.5%,37.2%,19.5%,Ugo Humbert,132.5
28.4%,49.1%,35.5%,19.5%,Andrey Rublev,132.5
27.0%,48.0%,39.1%,18.2%,Alexander Bublik,132.3
27.3%,49.1%,36.5%,19.2%,Tomas Martin Etcheverry,132.1
28.6%,48.8%,35.2%,19.5%,Alex Michelsen,132.1
29.1%,47.8%,36.6%,18.4%,Francisco Comesana,131.9
29.3%,47.6%,34.0%,20.9%,Joao Fonseca,131.8
28.2%,48.2%,36.4%,18.7%,Hamad Medjedovic,131.5
25.7%,46.7%,42.3%,16.8%,Ben Shelton,131.5
29.6%,48.6%,33.7%,19.5%,Felix Auger Aliassime,131.4
26.8%,49.3%,36.1%,18.6%,Fabian Marozsan,130.8
27.5%,45.2%,39.0%,17.8%,Gabriel Diallo,129.5
27.3%,47.9%,35.8%,18.5%,Alexander Shevchenko,129.5
27.8%,48.1%,34.6%,18.2%,Stefanos Tsitsipas,128.7
24.8%,47.7%,38.4%,17.2%,Daniel Altmaier,128.1
27.2%,47.4%,36.5%,16.9%,Brandon Nakashima,128.0
28.6%,46.1%,34.3%,17.6%,Matteo Arnaldi,126.6
26.2%,44.5%,39.6%,15.4%,Lorenzo Sonego,125.7
26.7%,45.8%,36.7%,15.4%,Matteo Berrettini,124.6
27.4%,45.3%,34.1%,17.1%,Christopher O'Connell,123.9
26.0%,50.5%,31.1%,16.0%,Jan Lennard Struff,123.6
27.3%,46.0%,34.4%,15.9%,Alejandro Tabilo,123.6
