match_id,date,gender,tournament,round,player_1,player_2,match_score,winner,loser,p1_fsp,p1_ssp,p1_df,p2_fsp,p2_ssp,p2_df
19690907-M-US_Open-F-Rod_Laver-Tony_Roche,19690907,M,US Open,F,Rod Laver,Tony Roche,7-9 6-1 6-2 6-2,Rod Laver,Tony Roche,53.0,91.0,5,67.0,88.0,5
19730909-M-US_Open-F-Jan_Kodes-John_Newcombe,19730909,M,US Open,F,Jan Kodes,John Newcombe,4-6 6-1 6-4 2-6 3-6,John Newcombe,Jan Kodes,90.0,100.0,0,79.0,91.0,2
19750907-M-US_Open-F-Manuel_Orantes-Jimmy_Connors,19750907,M,US Open,F,Manuel Orantes,Jimmy Connors,6-4 6-3 6-3,Manuel Orantes,Jimmy Connors,44.0,96.0,2,73.0,95.0,1
19800705-M-Wimbledon-SF-Brian_Gottfried-Bjorn_Borg,19800705,M,Wimbledon,SF,Brian Gottfried,Bjorn Borg,2-6 6-4 2-6 0-6,Bjorn Borg,Brian Gottfried,73.0,96.0,1,59.0,93.0,3
19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg,19810704,M,Wimbledon,F,John Mcenroe,Bjorn Borg,4-6 7-6 7-6 6-4,John Mcenroe,Bjorn Borg,76.0,79.0,8,70.0,93.0,3
19820704-M-Wimbledon-F-John_Mcenroe-Jimmy_Connors,19820704,M,Wimbledon,F,John Mcenroe,Jimmy Connors,6-3 3-6 7-6 6-7 4-6,Jimmy Connors,John Mcenroe,61.0,87.0,8,65.0,81.0,12
19820911-M-US_Open-SF-John_Mcenroe-Ivan_Lendl,19820911,M,US Open,SF,John Mcenroe,Ivan Lendl,4-6 4-6 6-7,Ivan Lendl,John Mcenroe,49.0,94.0,3,53.0,92.0,4
19830523-W-Roland_Garros-F-Mima_Jausovec-Chris_Evert,19830523,W,Roland Garros,F,Mima Jausovec,Chris Evert,1-6 2-6,Chris Evert,Mima Jausovec,57.0,95.0,1,74.0,91.0,1
19840526-M-Dusseldorf-F-John_Mcenroe-Ivan_Lendl,19840526,M,Dusseldorf,F,John Mcenroe,Ivan Lendl,6-3 6-2,John Mcenroe,Ivan Lendl,52.0,93.0,2,45.0,97.0,1
19840708-M-Wimbledon-F-John_Mcenroe-Jimmy_Connors,19840708,M,Wimbledon,F,John Mcenroe,Jimmy Connors,6-1 6-1 6-2,John Mcenroe,Jimmy Connors,76.0,100.0,0,68.0,77.0,5
19850106-M-Young_Masters-F-Boris_Becker-Stefan_Edberg,19850106,M,Young Masters,F,Boris Becker,Stefan Edberg,4-6 6-3 6-1 4-6 6-3,Boris Becker,Stefan Edberg,87.0,92.0,1,82.0,86.0,3
19850108-M-Tour_Finals-F-Ivan_Lendl-John_Mcenroe,19850108,M,Tour Finals,F,Ivan Lendl,John Mcenroe,5-7 0-6 4-6,John Mcenroe,Ivan Lendl,66.0,93.0,2,65.0,90.0,3
19850414-M-Dallas_WCT-F-Ivan_Lendl-Tim_Mayotte,19850414,M,Dallas WCT,F,Ivan Lendl,Tim Mayotte,7-6 6-4 6-1,Ivan Lendl,Tim Mayotte,73.0,100.0,0,68.0,78.0,6
19851103-M-Antwerp-F-John_Mcenroe-Ivan_Lendl,19851103,M,Antwerp,F,John Mcenroe,Ivan Lendl,6-1 6-7 2-6 2-6,Ivan Lendl,John Mcenroe,59.0,95.0,2,61.0,93.0,3
19860421-W-Amelia_Island-F-Steffi_Graf-Claudia_Kohde_Kilsch,19860421,W,Amelia Island,F,Steffi Graf,Claudia Kohde Kilsch,6-4 5-7 7-6,Steffi Graf,Claudia Kohde Kilsch,73.0,100.0,0,70.0,73.0,9
19870123-M-Australian_Open-SF-Wally_Masur-Stefan_Edberg,19870123,M,Australian Open,SF,Wally Masur,Stefan Edberg,2-6 4-6 6-7,Stefan Edberg,Wally Masur,63.0,96.0,2,63.0,88.0,4
19870124-W-Australian_Open-F-Hana_Mandlikova-Martina_Navratilova,19870124,W,Australian Open,F,Hana Mandlikova,Martina Navratilova,7-5 7-6,Hana Mandlikova,Martina Navratilova,47.0,90.0,4,64.0,87.0,4
19870606-W-Roland_Garros-F-Steffi_Graf-Martina_Navratilova,19870606,W,Roland Garros,F,Steffi Graf,Martina Navratilova,6-4 4-6 8-6,Steffi Graf,Martina Navratilova,79.0,91.0,2,68.0,81.0,6
19870816-M-Canada_Masters-F-Stefan_Edberg-Ivan_Lendl,19870816,M,Canada Masters,F,Stefan Edberg,Ivan Lendl,4-6 6-7,Ivan Lendl,Stefan Edberg,80.0,94.0,1,71.0,90.0,2
19870912-M-US_Open-SF-Stefan_Edberg-Mats_Wilander,19870912,M,US Open,SF,Stefan Edberg,Mats Wilander,4-6 6-3 3-6 4-6,Mats Wilander,Stefan Edberg,66.0,89.0,5,69.0,95.0,2
19880704-M-Wimbledon-F-Stefan_Edberg-Boris_Becker,19880704,M,Wimbledon,F,Stefan Edberg,Boris Becker,4-6 7-6 6-4 6-2,Stefan Edberg,Boris Becker,58.0,90.0,5,67.0,81.0,8
19881111-M-Stuttgart_Classic-RR-John_Mcenroe-Ivan_Lendl,19881111,M,Stuttgart Classic,RR,John Mcenroe,Ivan Lendl,7-6 7-6,John Mcenroe,Ivan Lendl,65.0,97.0,1,60.0,97.0,1
19881216-M-Davis_Cup_World_Group_F-RR-Stefan_Edberg-Boris_Becker,19881216,M,Davis Cup World Group F,RR,Stefan Edberg,Boris Becker,3-6 1-6 4-6,Boris Becker,Stefan Edberg,60.0,97.0,1,56.0,95.0,2
