h2h_win_ratio_diff,h2h_recent_momentum,recent_form_diff,win_rate_diff,serve_rating_diff,bp_conv_pctg_diff,dom_ratio_diff,fatigue_diff,match_volume_14d_diff,win_rate_hard_diff,target,match_id,date,player_id,opponent_id,win_rate_clay_diff,win_rate_grass_diff
0.0,0.0,0.0,0.0,0.6536500000000001,-0.09999999999999998,0.8,0.2,2.0,0.0,1.0,497,2025-01-27,7,49,,
0.0,0.0,-0.5,-0.5,0.6243,0.0,0.47,0.1,1.0,,1.0,2852,2025-01-27,101,316,0.0,
0.0,0.0,-0.5,-0.5,0.5891000000000001,0.16666666666666663,0.050000000000000044,0.1,1.0,-0.5,1.0,760,2025-01-27,11,93,,
0.0,0.0,-0.5,-0.5,0.5891000000000001,0.16666666666666663,0.050000000000000044,0.1,1.0,-0.5,0.0,759,2025-01-27,11,176,,
0.0,0.0,-0.5,-0.5,0.5969,-0.375,0.26,0.1,1.0,-0.5,0.0,1628,2025-01-27,27,95,,
0.0,0.0,-0.5,-0.5,0.6243,0.0,0.47,0.1,1.0,,1.0,2851,2025-01-27,101,288,0.0,
0.0,0.0,-0.5,-0.5,0.6243,0.0,0.47,0.1,1.0,,0.0,2850,2025-01-27,101,111,0.0,
0.0,0.0,0.0,0.0,0.6939,0.045454545454545414,0.5,0.2,2.0,0.0,0.0,2722,2025-01-27,68,116,,
0.0,0.0,-0.5,-0.5,0.6275,0.5,0.13,0.1,1.0,-0.5,0.0,1957,2025-01-27,35,95,,
0.0,0.0,-0.5,-0.5,0.6484,-0.33333333333333337,0.32999999999999996,0.1,1.0,-0.5,1.0,1436,2025-01-27,23,244,,
0.0,0.0,-0.5,-0.5,0.6484,-0.33333333333333337,0.32999999999999996,0.1,1.0,-0.5,1.0,1435,2025-01-27,23,112,,
0.0,0.0,-0.5,-0.5,0.6484,-0.33333333333333337,0.32999999999999996,0.1,1.0,-0.5,0.0,1434,2025-01-27,23,176,,
0.0,0.0,0.0,0.0,0.6536500000000001,-0.09999999999999998,0.8,0.2,2.0,0.0,1.0,496,2025-01-27,7,116,,
0.0,0.0,-0.5,-0.5,0.7223999999999999,-0.3,0.44999999999999996,0.1,1.0,-0.5,1.0,2026,2025-01-27,36,166,,
0.0,0.0,0.0,0.0,0.6536500000000001,-0.09999999999999998,0.8,0.2,2.0,0.0,1.0,494,2025-01-27,7,176,,
0.0,0.0,-0.5,-0.5,0.6275,0.5,0.13,0.1,1.0,-0.5,1.0,1958,2025-01-27,35,131,,
0.0,0.0,0.0,0.0,0.6536500000000001,-0.09999999999999998,0.8,0.2,2.0,0.0,1.0,495,2025-01-27,7,95,,
0.0,0.0,-0.5,-0.5,0.7223999999999999,-0.3,0.44999999999999996,0.1,1.0,-0.5,0.0,2025,2025-01-27,36,112,,
0.0,0.0,-0.5,-0.5,0.6275,0.5,0.13,0.1,1.0,-0.5,1.0,1959,2025-01-27,35,87,,
0.0,0.0,0.0,0.0,0.61785,-0.2,0.42500000000000004,0.0,0.0,0.0,1.0,688,2025-01-30,10,58,,
0.0,0.0,0.0,0.0,0.61785,-0.2,0.42500000000000004,0.0,0.0,0.0,1.0,687,2025-01-30,10,97,,
0.0,0.0,0.16666666666666663,0.16666666666666663,0.6798666666666667,-0.10869565217391308,0.6066666666666667,0.0,0.0,0.16666666666666663,1.0,2223,2025-01-31,41,498,,
0.0,0.0,0.25,0.25,0.6663749999999998,-0.14705882352941174,0.655,0.0,0.0,0.25,1.0,2654,2025-01-31,66,377,,
0.1,1.0,0.25,0.25,0.6719750000000001,-0.125,0.5274999999999999,0.0,0.0,0.25,1.0,1169,2025-01-31,18,75,,
0.0,0.0,0.25,0.25,0.6719750000000001,-0.125,0.5274999999999999,0.0,0.0,0.25,0.0,1168,2025-01-31,18,88,,
0.0,0.0,0.25,0.25,0.7563249999999999,-0.020000000000000018,0.8625,0.0,0.0,0.25,1.0,1044,2025-01-31,16,500,,
0.0,0.0,0.0,0.0,0.6730499999999999,-0.11904761904761907,0.48,0.0,0.0,0.0,1.0,2089,2025-02-01,37,47,,
0.0,0.0,-0.16666666666666669,-0.16666666666666669,0.6510333333333332,-0.18749999999999994,0.36,0.0,0.0,,1.0,1826,2025-02-01,31,280,0.0,
0.0,0.0,-0.3333333333333333,-0.3333333333333333,-0.03973333333333329,-0.09659090909090906,-0.3833333333333334,0.0,0.0,,1.0,1827,2025-02-01,31,60,0.0,
0.0,0.0,0.0,0.0,0.6730499999999999,-0.11904761904761907,0.48,0.0,0.0,0.0,0.0,2088,2025-02-01,37,48,,
0.0,0.0,0.16666666666666663,0.16666666666666663,0.6957,-0.125,0.6766666666666667,0.0,0.0,0.16666666666666663,1.0,1466,2025-02-01,24,237,,
0.0,0.0,-0.5,-0.5,0.6807,-0.2272727272727273,0.43999999999999995,0.0,0.0,-0.5,1.0,2448,2025-02-01,45,133,,
0.0,0.0,-0.5,-0.5,0.6807,-0.2272727272727273,0.43999999999999995,0.0,0.0,-0.5,1.0,2449,2025-02-01,45,85,,
0.0,0.0,0.050000000000000044,0.050000000000000044,0.06865999999999994,-0.020685579196217496,0.8339999999999999,0.0,0.0,0.050000000000000044,0.0,982,2025-02-01,15,20,,
0.0,0.0,0.5,0.25,0.61785,-0.2,0.42500000000000004,0.2,2.0,0.25,1.0,684,2025-02-03,10,84,,
0.0,0.0,0.0,0.30000000000000004,0.7064999999999999,-0.08461538461538459,1.1780000000000002,0.0,0.0,0.30000000000000004,1.0,138,2025-02-03,2,141,,
0.0,0.0,0.5,0.25,0.61785,-0.2,0.42500000000000004,0.2,2.0,0.25,1.0,685,2025-02-03,10,197,,
0.0,0.0,0.0,0.30000000000000004,0.7064999999999999,-0.08461538461538459,1.1780000000000002,0.0,0.0,0.30000000000000004,1.0,137,2025-02-03,2,175,,
