Player,% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,Serve Rating,% 1st Serve Return Points Won,% 2nd Serve Return Points Won,% Break Points Converted,% Return Games Won,Return Rating,% Break Points Saved,% Deciding Sets Won,% Tie Breaks Won,Under Pressure Rating,rank
Giovanni Mpetshi Perricard,65.4%,78.9%,54.4%,89.6%,14.6,4.2,298.7,20.7%,36.2%,33.6%,8.0%,98.5,69.3%,40.0%,61.4%,204.3,37
Taylor Fritz,64.1%,79.8%,54.2%,89.3%,11.3,1.8,296.9,25.9%,51.1%,41.4%,18.6%,137.0,65.8%,66.7%,52.2%,226.1,4
Jannik Sinner,60.5%,78.7%,59.4%,91.5%,6.4,1.4,295.1,33.4%,58.5%,45.6%,33.3%,170.8,72.5%,50.0%,80.0%,248.1,2
Alexander Zverev,71.5%,74.7%,54.9%,88.0%,7.7,2.0,294.8,30.3%,51.1%,40.8%,22.8%,145.0,64.7%,42.9%,61.4%,209.8,3
Novak Djokovic,66.6%,76.5%,55.2%,88.5%,8.2,2.1,292.9,31.4%,53.2%,42.4%,26.5%,153.5,63.5%,80.0%,40.9%,226.8,5
Reilly Opelka,61.7%,79.0%,51.6%,88.6%,16.0,4.1,292.8,20.7%,43.1%,30.8%,8.6%,103.2,72.5%,60.0%,64.3%,227.6,62
Matteo Berrettini,68.2%,76.1%,51.4%,86.8%,10.2,1.6,291.1,26.7%,45.8%,36.7%,15.4%,124.6,71.3%,45.5%,40.9%,194.4,61
Ben Shelton,64.4%,75.8%,55.7%,88.4%,9.5,3.1,290.7,25.7%,46.7%,42.3%,16.8%,131.5,68.8%,75.0%,55.3%,241.4,6
Felix Auger Aliassime,66.6%,75.7%,52.2%,85.1%,10.4,3.4,286.6,29.6%,48.6%,33.7%,19.5%,131.4,67.7%,65.2%,58.8%,225.4,13
Nicolas Jarry,63.9%,75.2%,53.3%,85.3%,11.3,3.5,285.5,25.9%,45.0%,27.9%,12.0%,110.8,69.0%,28.6%,41.7%,167.2,109
Carlos Alcaraz,64.2%,74.2%,56.6%,87.2%,5.9,2.8,285.3,34.9%,53.9%,44.4%,31.7%,164.9,65.8%,78.9%,64.0%,253.1,1
