% 1st Serve,% 1st Serve Points Won,% 2st Serve Points Won,% Service Games Won,Avg. Aces/ Match,Avg. Double Faults/Match,Player,Serve Rating
65.4%,78.9%,54.4%,89.6%,14.6,4.2,Giovanni Mpetshi Perricard,298.7
64.1%,79.8%,54.2%,89.3%,11.3,1.8,Taylor Fritz,296.9
60.5%,78.7%,59.4%,91.5%,6.4,1.4,Jannik Sinner,295.1
71.5%,74.7%,54.9%,88.0%,7.7,2.0,Alexander Zverev,294.8
66.6%,76.5%,55.2%,88.5%,8.2,2.1,Novak Djokovic,292.9
61.7%,79.0%,51.6%,88.6%,16.0,4.1,Reilly Opelka,292.8
68.2%,76.1%,51.4%,86.8%,10.2,1.6,Matteo Berrettini,291.1
64.4%,75.8%,55.7%,88.4%,9.5,3.1,Ben Shelton,290.7
66.6%,75.7%,52.2%,85.1%,10.4,3.4,Felix Auger Aliassime,286.6
63.9%,75.2%,53.3%,85.3%,11.3,3.5,Nicolas Jarry,285.5
64.2%,74.2%,56.6%,87.2%,5.9,2.8,Carlos Alcaraz,285.3
63.3%,76.2%,53.4%,86.0%,8.6,2.7,Jack Draper,284.8
66.3%,74.0%,52.4%,84.2%,8.6,1.2,Brandon Nakashima,284.3
60.0%,78.3%,49.0%,85.7%,13.7,3.8,Jakub Mensik,282.9
67.4%,74.1%,50.8%,84.1%,8.4,2.5,Gabriel Diallo,282.3
67.1%,72.8%,53.2%,83.9%,6.8,2.1,Joao Fonseca,281.7
63.6%,75.4%,50.1%,85.5%,9.8,3.1,Arthur Rinderknech,281.3
65.2%,75.1%,50.1%,85.2%,8.8,3.2,Tallon Griekspoor,281.2
64.9%,73.8%,52.3%,84.2%,8.7,3.1,Hamad Medjedovic,280.8
67.2%,71.8%,54.2%,83.0%,5.8,1.8,Valentin Vacherot,280.2
61.3%,75.7%,52.7%,84.7%,7.8,2.4,Jiri Lehecka,279.8
63.4%,74.5%,53.0%,82.9%,7.0,2.2,Karen Khachanov,278.6
66.3%,72.3%,52.6%,83.7%,6.0,2.3,Casper Ruud,278.6
66.1%,72.9%,51.5%,84.0%,6.6,2.5,Lorenzo Sonego,278.6
60.7%,77.3%,51.1%,84.1%,8.1,2.8,Andrey Rublev,278.5
60.5%,74.1%,53.0%,84.3%,8.7,2.4,Sebastian Korda,278.2
59.3%,76.5%,53.1%,85.2%,6.9,3.3,Stefanos Tsitsipas,277.7
60.8%,78.4%,47.4%,84.8%,11.8,5.7,Alexander Bublik,277.5
60.7%,74.2%,54.1%,83.0%,7.5,2.5,Ugo Humbert,277.0
61.7%,73.9%,52.7%,84.1%,6.0,2.7,Laslo Djere,275.7
62.4%,72.9%,53.8%,83.8%,5.5,2.7,Holger Rune,275.7
58.5%,77.4%,49.9%,82.8%,11.4,4.4,Quentin Halys,275.6
65.8%,71.0%,54.6%,81.8%,4.2,1.9,Lorenzo Musetti,275.5
60.0%,76.8%,51.0%,83.0%,7.9,3.5,Grigor Dimitrov,275.2
61.8%,74.0%,52.1%,82.4%,5.9,2.9,Arthur Fils,273.3
64.2%,70.5%,53.3%,80.9%,5.7,2.2,Benjamin Bonzi,272.4
64.4%,70.8%,52.3%,82.2%,4.9,2.3,Fabian Marozsan,272.3
60.9%,72.6%,53.4%,82.1%,6.4,3.2,Tomas Machac,272.2
66.8%,70.8%,50.2%,80.3%,6.2,2.4,Nuno Borges,271.9
59.1%,72.2%,54.1%,80.3%,7.9,1.8,Jordan Thompson,271.8
59.8%,75.7%,49.6%,82.4%,9.7,5.5,Gael Monfils,271.7
62.0%,73.9%,48.6%,81.2%,9.0,3.2,Alexei Popyrin,271.5
59.0%,75.5%,49.7%,82.7%,8.0,3.5,Aleksandar Kovacevic,271.4
60.9%,76.1%,49.0%,81.8%,8.0,4.4,Daniil Medvedev,271.4
55.4%,74.1%,56.1%,83.9%,3.9,2.5,Alex de Minaur,270.9
60.1%,72.5%,53.0%,81.7%,5.9,2.3,Tommy Paul,270.9
61.9%,72.0%,50.5%,80.4%,7.0,1.6,Tomas Martin Etcheverry,270.2
56.8%,74.3%,52.6%,80.3%,8.4,2.6,Frances Tiafoe,269.8
63.8%,70.6%,49.5%,81.4%,6.7,2.5,Alejandro Tabilo,269.5
58.7%,73.3%,49.4%,80.1%,10.0,2.4,Aleksandar Vukic,269.1
61.2%,73.0%,50.3%,80.8%,5.1,2.4,Miomir Kecmanovic,268.0
65.9%,70.7%,49.2%,79.1%,5.6,2.9,Alex Michelsen,267.6
65.9%,69.5%,50.1%,79.0%,5.1,2.5,Cameron Norrie,267.1
60.1%,71.9%,52.5%,79.5%,5.6,2.7,Luciano Darderi,266.9
58.6%,73.7%,50.5%,81.7%,8.2,6.0,Denis Shapovalov,266.7
58.0%,71.6%,53.1%,80.6%,5.4,2.1,Adrian Mannarino,266.6
63.6%,71.5%,50.7%,79.8%,4.0,3.2,Jaume Munar,266.4
67.0%,69.0%,50.9%,78.6%,2.7,2.0,Roberto Bautista Agut,266.2
65.9%,68.1%,52.2%,78.4%,3.5,2.1,Alejandro Davidovich Fokina,266.0
61.1%,70.8%,51.0%,78.9%,6.4,2.4,Adam Walton,265.8
57.6%,73.0%,49.8%,80.2%,6.8,1.9,Yunchaokete Bu,265.5
60.7%,74.5%,46.5%,79.0%,8.2,3.7,Francisco Comesana,265.2
59.7%,71.3%,51.0%,79.3%,5.2,1.7,Marcos Giron,264.8
