match,tournament,round,date,completed,log_reg_prob,rf_prob,ens_prob,log_reg_ml_p1,log_reg_ml_p2,rf_ml_p1,rf_ml_p2,ens_ml_p1,ens_ml_p2,log_reg_dec_p1,log_reg_dec_p2,rf_dec_p1,rf_dec_p2,ens_dec_p1,ens_dec_p2
1,Paris Masters,R32,2025-10-27,True,0.7402055902500309,0.28,0.32602055902500315,-285,285,257,-257,207,-207,1.351,3.8492,3.5714,1.3889,3.0673,1.4837
2,Tokyo,F,2025-09-24,True,0.6222586599678769,0.86,0.8362258659967877,-165,165,-614,614,-511,511,1.607,2.6473,1.1628,7.1429,1.1958,6.106
3,Tokyo,SF,2025-09-24,True,0.6372473029105454,0.84,0.8197247302910545,-176,176,-525,525,-455,455,1.5692,2.7567,1.1905,6.25,1.2199,5.5471
4,Tokyo,QF,2025-09-24,True,0.6780902700065428,0.82,0.8058090270006543,-211,211,-456,456,-415,415,1.4747,3.1065,1.2195,5.5556,1.241,5.1496
5,Tokyo,R16,2025-09-24,True,0.7030439702283442,0.86,0.8443043970228344,-237,237,-614,614,-542,542,1.4224,3.3675,1.1628,7.1429,1.1844,6.4228
6,Tokyo,R32,2025-09-24,True,0.7428834373625519,0.89,0.8752883437362552,-289,289,-809,809,-702,702,1.3461,3.8893,1.1236,9.0909,1.1425,8.0185
7,Laver Cup,RR,2025-09-19,True,0.6821167852675227,0.33,0.3652116785267523,-215,215,203,-203,174,-174,1.466,3.1458,3.0303,1.4925,2.7381,1.5753
8,Laver Cup,RR,2025-09-19,True,0.7116596984420624,0.94,0.9171659698442062,-247,247,-1567,1567,-1107,1107,1.4052,3.4681,1.0638,16.6667,1.0903,12.0723
25197,US Open,F,2025-08-25,True,0.6550384458951581,0.7230809595202399,0.7162767081577318,-190,190,-261,261,-252,252,1.5266,2.8989,1.383,3.6112,1.3961,3.5246
25198,US Open,SF,2025-08-25,True,0.7355605505605507,0.94,0.9195560550560551,-278,278,-1567,1567,-1143,1143,1.3595,3.7816,1.0638,16.6667,1.0875,12.431
25199,US Open,QF,2025-08-25,True,0.6788554858518092,0.94,0.9138855485851809,-211,211,-1567,1567,-1061,1061,1.4731,3.1139,1.0638,16.6667,1.0942,11.6125
25200,US Open,R16,2025-08-25,True,0.6822067317378011,0.96,0.9322206731737801,-215,215,-2400,2400,-1375,1375,1.4658,3.1467,1.0417,25.0,1.0727,14.7538
25201,US Open,R32,2025-08-25,True,0.7218495092375992,0.89,0.8731849509237599,-260,260,-809,809,-689,689,1.3853,3.5952,1.1236,9.0909,1.1452,7.8855
25202,US Open,R64,2025-08-25,True,0.7310056678093909,0.85,0.8381005667809391,-272,272,-567,567,-518,518,1.368,3.7176,1.1765,6.6667,1.1932,6.1767
25203,US Open,R128,2025-08-25,True,0.7030439702283442,0.76,0.7543043970228345,-237,237,-317,317,-307,307,1.4224,3.3675,1.3158,4.1667,1.3257,4.0701
25204,Cincinnati Masters,F,2025-08-07,True,0.6862217623692792,0.52,0.536622176236928,-219,219,-108,108,-116,116,1.4573,3.187,1.9231,2.0833,1.8635,2.1581
25205,Cincinnati Masters,SF,2025-08-07,True,0.7052390921795638,0.91,0.8895239092179564,-239,239,-1011,1011,-805,805,1.418,3.3926,1.0989,11.1111,1.1242,9.0517
25206,Cincinnati Masters,QF,2025-08-07,True,0.6601711201257012,0.98,0.9480171120125701,-194,194,-4900,4900,-1824,1824,1.5148,2.9427,1.0204,50.0,1.0548,19.2371
25207,Cincinnati Masters,R16,2025-08-07,True,0.7205343038413905,0.93,0.9090534303841391,-258,258,-1329,1329,-1000,1000,1.3879,3.5783,1.0753,14.2857,1.1,10.9955
25208,Cincinnati Masters,R32,2025-08-07,True,0.6987540293999419,0.87,0.8528754029399942,-232,232,-669,669,-580,580,1.4311,3.3195,1.1494,7.6923,1.1725,6.797
25209,Cincinnati Masters,R64,2025-08-07,True,0.7156962139306341,0.93,0.9085696213930635,-252,252,-1329,1329,-994,994,1.3972,3.5174,1.0753,14.2857,1.1006,10.9373
25210,Wimbledon,F,2025-06-30,True,0.5942476417621405,0.72,0.707424764176214,-146,146,-257,257,-242,242,1.6828,2.4646,1.3889,3.5714,1.4136,3.4179
25211,Wimbledon,SF,2025-06-30,True,0.7257030909469935,0.88,0.8645703090946993,-265,265,-733,733,-638,638,1.378,3.6457,1.1364,8.3333,1.1566,7.3839
25212,Wimbledon,QF,2025-06-30,True,0.762270288698341,0.86,0.8502270288698341,-321,321,-614,614,-568,568,1.3119,4.2065,1.1628,7.1429,1.1762,6.6768
25213,Wimbledon,R16,2025-06-30,True,0.713854820393282,0.83,0.8183854820393281,-249,249,-488,488,-451,451,1.4008,3.4947,1.2048,5.8824,1.2219,5.5062
25214,Wimbledon,R32,2025-06-30,True,0.7519025256502653,0.6925021629586354,0.6984421992277985,-303,303,-225,225,-232,232,1.33,4.0307,1.444,3.2521,1.4318,3.3161
25215,Wimbledon,R64,2025-06-30,True,0.6971783698643483,0.91,0.8887178369864349,-230,230,-1011,1011,-799,799,1.4344,3.3023,1.0989,11.1111,1.1252,8.9862
25216,Wimbledon,R128,2025-06-30,True,0.7257030909469935,0.9,0.8825703090946994,-265,265,-900,900,-752,752,1.378,3.6457,1.1111,10.0,1.1331,8.5157
25217,Halle,R16,2025-06-16,True,0.7650571968318924,0.35,0.39150571968318926,-326,326,186,-186,155,-155,1.3071,4.2564,2.8571,1.5385,2.5542,1.6434
25218,Halle,R32,2025-06-16,True,0.6980874607734393,0.96,0.9338087460773439,-231,231,-2400,2400,-1411,1411,1.4325,3.3122,1.0417,25.0,1.0709,15.1077
25219,Roland Garros,F,2025-05-26,True,0.6152420632193489,0.51,0.5205242063219349,-160,160,-104,104,-109,109,1.6254,2.599,1.9608,2.0408,1.9211,2.0856
25220,Roland Garros,SF,2025-05-26,True,0.6524137739791476,0.56,0.5692413773979149,-188,188,-127,127,-132,132,1.5328,2.877,1.7857,2.2727,1.7567,2.3215
